txId1,txId2,source_time,target_time
230425980,5530458,1,1
232022460,232438397,1,1
230460314,230459870,1,1
230333930,230595899,1,1
232013274,232029206,1,1
232344069,27553029,1,1
36411953,230405052,1,1
34194980,5529846,1,1
3881097,232457116,1,1
230409257,32877982,1,1
230351738,195218118,1,1
88008478,232012569,1,1
232412408,232412405,1,1
232038018,232470342,1,1
2925426,230550393,1,1
232051089,232470704,1,1
233591710,234439913,1,1
232945017,94251207,1,1
6595740,79840192,1,1
212704383,212366182,1,1
69254632,230595355,1,1
166890641,82304496,1,1
232033533,230470022,1,1
230598493,43560505,1,1
14878322,230415750,1,1
232073372,75604335,1,1
230473487,7089694,1,1
231179595,3307463,1,1
230658679,232074274,1,1
5234549,231177927,1,1
232431877,2758467,1,1
81273879,232437171,1,1
3878856,3878886,1,1
231182296,14660781,1,1
13334987,5530452,1,1
230519287,194810163,1,1
230423321,232399276,1,1
230659456,230658142,1,1
230347386,43560505,1,1
37233982,230427468,1,1
43358239,230528714,1,1
75605182,75604052,1,1
230585122,231208959,1,1
230455950,2881274,1,1
232658952,232658962,1,1
230530291,2881273,1,1
75604616,37232637,1,1
230531551,4619363,1,1
230516010,230516478,1,1
232441583,232441589,1,1
5488136,27553759,1,1
5529367,232467632,1,1
230658273,230658517,1,1
231181128,232453404,1,1
232353601,230447764,1,1
230423018,232392936,1,1
234419729,152498092,1,1
230531146,230545782,1,1
230415003,230414561,1,1
230453429,230459154,1,1
230425284,83431059,1,1
230530225,230095969,1,1
230440353,5234549,1,1
230440535,230440534,1,1
232022496,232022773,1,1
230348238,2881273,1,1
3409584,43560505,1,1
89273,3906238,1,1
230973596,232455956,1,1
38062994,80044108,1,1
230423318,230423018,1,1
146601928,232368272,1,1
232453639,232453630,1,1
89273,51860219,1,1
230521273,230522097,1,1
230658997,230658142,1,1
1913117,232909272,1,1
231179660,231177063,1,1
206222134,192431356,1,1
230967090,230439439,1,1
230658277,230563355,1,1
230455752,232416085,1,1
232038004,232037822,1,1
230471902,230471916,1,1
232393313,230511916,1,1
200165930,39617084,1,1
230432611,230966618,1,1
89273,230512979,1,1
230530178,232070456,1,1
232436036,230674241,1,1
230330969,232918438,1,1
230335026,232698839,1,1
230918484,40297647,1,1
230459131,230559672,1,1
230447404,3877919,1,1
54492406,4855592,1,1
231995264,232468876,1,1
231994250,232910950,1,1
3907739,230438749,1,1
232687445,189305695,1,1
2819887,232956426,1,1
230530380,2881274,1,1
230474094,230473989,1,1
75604389,75604980,1,1
232440027,232448376,1,1
230471946,231429973,1,1
79642404,71136742,1,1
232897313,231168875,1,1
230537133,230537117,1,1
232040268,230467682,1,1
2756358,232432897,1,1
66396856,13805515,1,1
230470027,2893869,1,1
232634676,232364856,1,1
232440939,79642776,1,1
42953128,230424236,1,1
230449513,230449518,1,1
230529171,14580549,1,1
86655785,230577422,1,1
232457903,11011839,1,1
230471924,232894488,1,1
230391412,232029206,1,1
2893846,2881274,1,1
230334809,43560505,1,1
89273,230465219,1,1
230541525,2880930,1,1
230452144,2706899,1,1
230681119,232472581,1,1
232345632,230463877,1,1
89273,232916687,1,1
232431856,230683178,1,1
230349226,233221331,1,1
81167039,230594121,1,1
232440137,230639246,1,1
232399274,232399270,1,1
230659151,230658142,1,1
230467618,230467684,1,1
230531179,2881274,1,1
230437680,19617883,1,1
230411721,35574259,1,1
232957846,232415197,1,1
232675389,147419328,1,1
233599193,233599189,1,1
230591601,230555921,1,1
60519306,230097992,1,1
89273,232440137,1,1
21763735,2758467,1,1
231990423,12971085,1,1
230344670,43560505,1,1
230521269,230521266,1,1
232431922,2758467,1,1
3272536,230724244,1,1
232047899,232438397,1,1
230540205,232608734,1,1
230597986,3878899,1,1
230351534,43560505,1,1
230586873,230667453,1,1
75597397,90545645,1,1
232064964,206139323,1,1
230437630,230649117,1,1
14550424,232353291,1,1
183402062,82950160,1,1
79642776,232447742,1,1
230401350,230401687,1,1
21018157,230724244,1,1
230347366,43560505,1,1
230658525,232450626,1,1
2864954,33972940,1,1
1913117,233227310,1,1
232673945,232673949,1,1
232354199,232346251,1,1
232959350,80044108,1,1
75604058,232068042,1,1
232361296,232361286,1,1
75600754,75597795,1,1
231996124,230473483,1,1
230457910,2881274,1,1
230523211,230523207,1,1
95906596,230578500,1,1
232035051,232036661,1,1
31730193,230569374,1,1
230335074,230440142,1,1
232431890,2758467,1,1
7196549,232418399,1,1
230400857,230400870,1,1
232015620,49558738,1,1
233599185,233599198,1,1
232065266,232073363,1,1
232009878,232009889,1,1
232342532,183402062,1,1
3877856,230437700,1,1
5662056,230522934,1,1
230445151,2880930,1,1
32877982,232899771,1,1
22013857,232903082,1,1
222399481,232893753,1,1
230456357,232922109,1,1
230645753,76866419,1,1
230418806,230428367,1,1
230439622,93518448,1,1
40623301,2920819,1,1
230472251,230473461,1,1
232470505,232470504,1,1
232957892,3204359,1,1
232054853,105586706,1,1
233097530,3717740,1,1
230456360,230456357,1,1
230444451,16555074,1,1
232017363,230451735,1,1
79111639,232403460,1,1
232904009,233220194,1,1
230528722,230528710,1,1
232342530,199529191,1,1
232017777,232054860,1,1
230530309,2881273,1,1
75598059,61820358,1,1
3875116,230520120,1,1
230531174,230531529,1,1
232446225,182442258,1,1
230440527,230456382,1,1
232404259,2758467,1,1
230658164,230658142,1,1
75600755,230425547,1,1
232000581,230716290,1,1
73325019,43560505,1,1
230423321,230681123,1,1
232654975,192392088,1,1
232037400,232037399,1,1
230517591,3385562,1,1
230464746,230464556,1,1
2713814,185535373,1,1
19146132,232354183,1,1
14942862,195237909,1,1
230421654,183321578,1,1
232392936,232392931,1,1
3876606,232460526,1,1
230458741,230458655,1,1
230692824,230551388,1,1
34162816,230539732,1,1
232431910,2758467,1,1
76866739,87889632,1,1
230444448,4996915,1,1
230464771,20510018,1,1
230334719,232000584,1,1
203812102,232431931,1,1
230673815,232383231,1,1
232034284,198358107,1,1
198363083,198426420,1,1
1913117,2923374,1,1
53204358,230586868,1,1
232034284,2754445,1,1
7460711,230470030,1,1
230390238,230456623,1,1
232903064,113492022,1,1
232903069,99506340,1,1
2713749,56588535,1,1
232012309,230411297,1,1
230470029,230470027,1,1
230438482,230438479,1,1
232412807,80044762,1,1
89273,5197391,1,1
106306280,230411659,1,1
76864781,230692824,1,1
37001822,86977694,1,1
230540192,230516994,1,1
54735213,219837311,1,1
234017978,230530258,1,1
3416106,74325541,1,1
232010758,4988292,1,1
230411274,195237909,1,1
232670457,232673585,1,1
230537141,230537117,1,1
230530176,232067342,1,1
230345439,29115493,1,1
14713336,230537117,1,1
230336239,232019233,1,1
230530819,230455738,1,1
232639903,231429973,1,1
232921306,76867053,1,1
230544483,87823727,1,1
230452736,45936391,1,1
232000938,232000936,1,1
232895310,94251207,1,1
230331387,231993291,1,1
230472718,27533958,1,1
230522939,166888820,1,1
230548582,230548586,1,1
3908453,2881273,1,1
232440020,232440017,1,1
230409254,76865205,1,1
234469371,232431871,1,1
76865983,3907701,1,1
75604333,2912780,1,1
234442906,13341989,1,1
230465231,5530776,1,1
219821008,232039868,1,1
230437116,230543170,1,1
232419988,230673838,1,1
230530317,230923479,1,1
230642649,231827038,1,1
232897813,232431861,1,1
232431916,231367273,1,1
232018604,37001822,1,1
232431852,2758467,1,1
75604019,232067357,1,1
230645829,230649107,1,1
3891191,3851887,1,1
202251566,102053373,1,1
232347599,232069314,1,1
232038134,232061952,1,1
230531160,2881274,1,1
230548931,230548930,1,1
226890719,230540196,1,1
232949441,232415197,1,1
10818605,230465660,1,1
232349072,20299716,1,1
214488573,230473461,1,1
230543312,87823631,1,1
230659451,230658142,1,1
84064852,232022782,1,1
