txId,time_step,class_raw,model_risk,high_risk_neighbor_fraction,neighborhood_mean_risk,neighborhood_vs_self_risk,total_degree,degree_imbalance,investigation_score,investigation_priority,is_illicit,is_labeled
97023208,40,unknown,0.000432246888522,0.0,0.0001680334753473,-0.0002642134131747,2,0,0.0852,LOW,0,0
97732542,40,unknown,4.836519656237215e-05,0.0,0.0002690869901016,0.0002207217935392,3,1,0.095,LOW,0,0
97425476,40,2,0.0080645130947232,0.0,0.003622512158472,-0.0044420009362511,3,-1,0.0987,LOW,0,1
13344762,40,2,0.0015386048471555,0.0,0.0013657696708833,-0.0001728351762722,5,-3,0.1158,LOW,0,1
87028631,40,unknown,0.0049535552971065,0.0,0.001466152141802,-0.0034874031553044,1,1,0.0872,LOW,0,0
96264604,40,unknown,0.002932304283604,0.0,0.0026473573525436,-0.0002849469310604,2,0,0.0864,LOW,0,0
708454,40,unknown,6.137905438663438e-05,0.0,0.0045459425425741,0.0044845634881875,42,42,0.1754,LOW,0,0
97391785,40,2,0.0002534338564146,0.0,3.068952719331719e-05,-0.0002227443292213,1,-1,0.0851,LOW,0,1
32818585,40,unknown,0.0163731630891561,0.0,0.022960387635976,0.0065872245468199,2,0,0.0937,LOW,0,0
98186787,40,unknown,0.0103882262483239,0.0,0.0102305512409657,-0.0001576750073581,2,0,0.0902,LOW,0,0
96654838,40,2,2.359938298468478e-05,0.0,3.757738159038127e-05,1.3977998605696484e-05,1,1,0.085,LOW,0,1
57228978,40,2,7.515476318076253e-05,0.0,2.8214030472944224e-05,-4.694073270781831e-05,7,-7,0.145,LOW,0,1
58342418,40,unknown,0.0016035821754485,0.0,0.000811347272247,-0.0007922349032014,2,0,0.0857,LOW,0,0
27558165,40,unknown,0.0010726061882451,0.0,0.0014991170610301,0.000426510872785,2,0,0.0856,LOW,0,0
96654950,40,2,2.324706110812258e-05,0.0,2.4809535261738347e-05,1.5624741536157671e-06,2,2,0.095,LOW,0,1
97102523,40,unknown,0.0001347265788353,0.0,0.0002187072313972,8.398065256187692e-05,2,0,0.0851,LOW,0,0
97102529,40,unknown,0.0002262869675178,0.0,0.0001520303048891,-7.425666262861341e-05,2,0,0.0851,LOW,0,0
96301563,40,unknown,0.0006810087943449,0.0,0.0047280299622798,0.0040470211679348,2,0,0.0856,LOW,0,0
96583393,40,unknown,0.0091982642188668,0.0,0.0004055001627421,-0.0087927640561247,2,0,0.0889,LOW,0,0
97707627,40,unknown,0.1172209680080413,0.0,0.0017628684872761,-0.1154580995207652,2,2,0.145,LOW,0,0
98633701,40,unknown,0.0051860506646335,0.0,0.0899668218771694,0.0847807712125359,4,0,0.104,LOW,0,0
96310515,40,unknown,0.0002257641463074,0.0,0.0003161958156852,9.043166937772185e-05,3,1,0.0951,LOW,0,0
96310783,40,unknown,0.0004121962701901,0.0,0.0003029212530236,-0.0001092750171665,2,0,0.0852,LOW,0,0
97728951,40,unknown,0.0003457138082012,0.3333333333333333,0.2447873080818681,0.2444415942736668,3,1,0.1968,LOW,0,0
89450005,40,unknown,0.9777136445045472,0.0238095238095238,0.0291364960334509,-0.9485771484710962,42,-42,0.5987,IMMEDIATE,0,0
847323,40,unknown,0.000100805380498,0.0,0.0009027871067814,0.0008019817262834,64,64,0.1751,LOW,0,0
36729550,40,2,0.0002148336498066,0.0,5.040269024902955e-05,-0.0001644309595576,1,-1,0.0851,LOW,0,1
6978680,40,2,2.788317397062201e-05,0.0,0.0131602554835288,0.0131323723095582,15,13,0.176,LOW,0,1
97499027,40,2,0.0006063729524612,0.0625,0.0450101757796005,0.0444038028271393,80,-80,0.1943,LOW,0,1
41846555,40,2,2.073852374451235e-05,0.0526315789473684,0.0413878102470132,0.0413670717232687,19,17,0.1913,LOW,0,1
96955265,40,unknown,0.0160744544118642,0.0,0.0047037999829626,-0.0113706544289016,3,1,0.1022,LOW,0,0
97869259,40,unknown,0.7710630297660828,0.5,0.3880317245784681,-0.3830313051876146,2,0,0.5668,HIGH,0,0
98602016,40,unknown,0.7751625180244446,0.3333333333333333,0.1309932885609062,-0.6441692294635383,3,-3,0.5276,HIGH,0,0
97022727,40,unknown,0.1012635082006454,0.0,0.0624787434935569,-0.0387847647070884,1,1,0.1327,LOW,0,0
97731127,40,unknown,0.1249574869871139,0.0,0.1009458703920245,-0.0240116165950894,5,-3,0.1757,LOW,0,0
97105096,40,unknown,0.0001705851318547,0.0,0.0001172412630694,-5.334386878530495e-05,3,1,0.0951,LOW,0,0
4261635,40,2,4.694746166933328e-05,0.0428571428571428,0.0289633136871866,0.0289163662255173,70,-68,0.1879,LOW,0,1
97002039,40,unknown,0.000451355590485,0.0,0.1001682837462188,0.0997169281557338,5,-1,0.1127,LOW,0,0
28547465,40,2,2.2144478862173852e-05,0.0,0.0360098810442613,0.0359877365653991,54,-44,0.1777,LOW,0,1
12428946,40,unknown,0.0001704885362414,0.0,0.0006744490892742,0.0005039605530328,4,4,0.1151,LOW,0,0
98059174,40,2,0.0009797021048143,0.2962962962962963,0.1503436126592462,0.1493639105544319,27,-25,0.2608,LOW,0,1
27948457,40,unknown,0.0013895715819671,0.0,1.301751399296336e-05,-0.0013765540679742,1,1,0.0856,LOW,0,0
16838611,40,2,2.603502798592672e-05,0.0434782608695652,0.0725266084196846,0.0725005733916987,23,-7,0.1913,LOW,0,1
97389126,40,unknown,0.0566750839352607,0.0,0.020957316392014,-0.0357177675432467,3,1,0.1207,LOW,0,0
67622392,40,unknown,0.0837666988372802,0.0,0.0283375419676303,-0.0554291568696498,1,-1,0.1227,LOW,0,0
97760404,40,unknown,0.0323294475674629,0.0,0.0120308050318271,-0.0202986425356357,3,-1,0.1096,LOW,0,0
49506554,40,unknown,0.0207170601934194,0.0,0.06926322446634,0.0485461642729205,4,-2,0.119,LOW,0,0
96582591,40,unknown,0.000111033245048,0.0,0.0043015320867804,0.0041904988417324,4,2,0.1054,LOW,0,0
97013833,40,unknown,0.0248658191412687,0.0,8.992935499918531e-05,-0.0247758897862695,3,1,0.1056,LOW,0,0
96674873,40,unknown,0.043793998658657,0.0,8.169635111698881e-05,-0.04371230230754,1,1,0.1036,LOW,0,0
98605556,40,2,0.0001633927022339,0.0416666666666666,0.0380650395053407,0.0379016468031068,24,-24,0.1883,LOW,0,1
96955875,40,unknown,0.0043955133296549,0.0,0.0373479998761467,0.0329524865464918,2,0,0.0897,LOW,0,0
9904238,40,2,4.937035919283517e-05,0.0,0.0051185106362523,0.0050691402770594,67,-65,0.1754,LOW,0,1
96596603,40,2,3.793733776547015e-05,0.0606060606060606,0.1222765652435165,0.122238627905751,33,-23,0.1993,LOW,0,1
97758241,40,2,0.0006774989305995,0.0,0.0199436827175532,0.0192661837869536,8,-8,0.1568,LOW,0,1
96614330,40,unknown,0.0001879613264463,0.0,0.0007363731274381,0.0005484118009917,1,1,0.0851,LOW,0,0
98059757,40,2,0.0014727462548762,0.0,0.0019456819309198,0.0004729356760435,4,-4,0.1158,LOW,0,1
96933335,40,unknown,0.0043781669810414,0.0,1.2041688933095427e-05,-0.0043661252921083,1,1,0.0869,LOW,0,0
46325611,40,2,2.4083377866190855e-05,0.0454545454545454,0.0264438789348275,0.0264197955569613,66,-62,0.1884,LOW,0,1
98109575,40,unknown,0.0001223886647494,0.0,0.00653890252579,0.0064165138610405,2,0,0.0855,LOW,0,0
27282455,40,2,0.0035074877087026,0.0,0.00338565841339,-0.0001218292953126,5,-5,0.1267,LOW,0,1
97053012,40,unknown,0.0196373648941516,0.0,0.014995067671407,-0.0046422972227446,2,2,0.1045,LOW,0,0
97053009,40,unknown,0.0027379144448786,0.0,0.1113717767921116,0.1086338623472329,3,1,0.1045,LOW,0,0
96954593,40,unknown,0.4545240700244903,0.0,0.0449090029223953,-0.409615067102095,2,0,0.2815,REVIEW,0,0
96954591,40,unknown,0.0897931233048439,0.0,0.2272620350122451,0.1374689117074012,1,-1,0.1402,LOW,0,0
96942259,40,2,0.0004903583903796,0.0,0.0033669175827526,0.0028765591923729,2,0,0.0855,LOW,0,1
1503261,40,unknown,0.0001116596831707,0.0,0.0096727504553806,0.0095610907722099,30,30,0.1758,LOW,0,0
97730088,40,2,2.32520469580777e-05,0.0,0.0541776255971247,0.0541543735501666,4,-2,0.1091,LOW,0,1
98623100,40,unknown,0.0069422833621501,0.0,0.0032880948710953,-0.0036541884910548,3,1,0.0982,LOW,0,0
97735969,40,unknown,0.0050223795697093,0.0,0.0040453440742567,-0.0009770354954525,2,0,0.0874,LOW,0,0
46230282,40,2,3.192899748682976e-05,0.0847457627118644,0.1353944671922997,0.1353625381948129,59,-37,0.2064,LOW,0,1
97447008,40,unknown,0.2387791872024536,0.0,1.596449874341488e-05,-0.2387632227037102,1,-1,0.1865,LOW,0,0
14333876,40,unknown,0.0184531304985284,0.0,0.0145523508545011,-0.0039007796440273,2,0,0.0939,LOW,0,0
12572457,40,unknown,0.0250167623162269,0.0,0.0115107223391532,-0.0135060399770736,2,0,0.0965,LOW,0,0
96621858,40,unknown,0.0570007674396038,0.0,4.794881533598527e-05,-0.0569528186242678,1,1,0.1092,LOW,0,0
96621541,40,2,9.589763067197056e-05,0.0,0.0082586297999464,0.0081627321692744,15,-11,0.1757,LOW,0,1
97993790,40,unknown,0.0018348580924794,0.0,0.0024617660747026,0.0006269079822232,3,1,0.096,LOW,0,0
98047174,40,2,0.0003864097234327,0.0,0.0110937928452585,0.0107073831218258,4,-4,0.116,LOW,0,1
884950,40,unknown,0.0003313073539175,0.0,0.0005590142682194,0.0002277069143019,2,0,0.0852,LOW,0,0
96593437,40,unknown,0.0004235274973325,0.0,0.0003342672757753,-8.926022155719693e-05,3,1,0.0952,LOW,0,0
44922533,40,unknown,0.0291636269539594,0.5,0.3425141375846579,0.3133505106306984,2,0,0.2481,LOW,0,0
96569045,40,unknown,0.684916615486145,0.5,0.5124070486053824,-0.1725095668807625,2,0,0.5395,HIGH,0,0
96941147,40,2,0.0022471521515399,0.5,0.4964024019245698,0.4941552497730299,2,0,0.2482,LOW,0,1
96941150,40,unknown,0.9927116632461548,0.0,0.0011235760757699,-0.9915880871703848,1,-1,0.507,IMMEDIATE,0,0
14393317,40,2,2.4855738956830464e-05,0.0588235294117647,0.0346969665714596,0.0346721108325027,17,15,0.1923,LOW,0,1
36838022,40,2,2.6238965801894665e-05,0.0119047619047619,0.0156535119057458,0.0156272729399439,84,-82,0.1792,LOW,0,1
97764114,40,unknown,0.0150783350691199,0.0,0.0218956964090466,0.0068173613399267,2,0,0.0931,LOW,0,0
97764028,40,unknown,0.0306598618626594,0.0,0.0092526531079784,-0.021407208754681,2,0,0.0987,LOW,0,0
96580293,40,unknown,0.003234158270061,0.1666666666666666,0.0778973317879717,0.0746631735179107,6,-4,0.1739,LOW,0,0
97011545,40,1,0.0008981404243968,0.0,0.0130464475791086,0.0121483071547118,7,-3,0.1264,LOW,1,1
97481787,40,unknown,0.0003848146589007,0.0,0.0009517395956208,0.0005669249367201,3,-1,0.0952,LOW,0,0
97481795,40,unknown,0.0005350841674953,0.0,0.0009835506891249,0.0004484665216295,6,-4,0.1253,LOW,0,0
38823090,40,unknown,0.0517093054950237,0.0,0.0228358027525246,-0.0288735027424991,2,0,0.1087,LOW,0,0
98185801,40,unknown,0.0120229506865143,0.0,0.0768151450902223,0.0647921944037079,2,0,0.0959,LOW,0,0
97483995,40,unknown,0.0012557433219626,0.0,0.0042705294326879,0.0030147861107252,3,1,0.0959,LOW,0,0
97484040,40,unknown,0.0056290077045559,0.0,0.0051166071207262,-0.0005124005838297,2,0,0.0878,LOW,0,0
